SA1 (UR),Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
20101100101,20,10,22,26,38,31,35,38,24,12,22,13,19,0,4,18,97,437
20101100102,3,5,3,11,10,25,8,14,12,9,5,0,0,0,3,9,36,177
20101100105,24,11,27,38,35,50,33,28,27,14,9,8,4,0,0,14,47,371
20101100106,32,21,16,34,50,61,40,44,37,23,23,20,21,3,0,29,123,583
20101100107,6,11,14,30,37,39,24,28,33,12,17,17,10,0,0,27,41,360
20101100108,42,19,33,43,34,45,43,51,54,47,42,23,52,7,7,35,199,791
20101100109,25,22,25,34,39,32,30,38,46,38,20,14,26,3,0,24,104,520
20101100110,30,33,19,17,26,40,34,26,33,22,42,27,36,3,19,11,95,507
20101100111,22,22,14,27,16,19,19,17,27,18,25,3,34,5,13,4,82,366
20101100112,24,21,18,22,37,27,20,33,32,24,18,22,25,4,5,9,85,420
20101100113,18,15,15,23,18,16,27,26,22,22,11,17,16,5,3,3,59,328
20101100114,27,31,21,34,38,28,53,33,39,25,22,11,28,8,13,19,102,535
20101100118,20,15,18,11,12,28,20,14,26,16,18,14,22,7,5,5,70,324
20101100119,50,40,32,14,30,39,37,70,45,35,39,35,59,18,29,10,199,784
20101100120,34,25,18,36,30,42,32,48,58,31,23,11,37,3,8,18,194,643
20101100121,54,29,36,33,33,33,30,25,50,41,44,35,45,16,11,13,178,692
20101100124,23,22,23,19,15,27,28,32,26,24,28,10,47,10,14,16,115,465
20101100125,34,21,21,21,27,37,41,38,42,36,38,18,29,7,3,22,159,594
20101100126,39,26,19,24,28,26,45,33,50,46,32,32,56,16,52,17,113,660
20101100127,26,19,12,17,22,25,29,38,52,49,32,28,44,14,14,13,153,596
20101100128,26,6,7,22,30,32,23,22,29,21,14,17,22,3,3,9,101,384
20101100129,28,9,17,17,11,23,26,56,50,26,27,19,27,5,4,19,146,514
20101100130,23,8,10,7,8,13,13,29,27,17,26,23,17,9,13,4,107,345
20101100131,20,13,13,26,27,21,15,18,21,15,20,18,43,0,10,8,86,369
20101100132,57,24,28,35,42,38,57,68,93,79,48,36,47,3,10,27,242,950
20101100133,24,4,10,14,27,31,17,31,31,34,21,15,18,10,3,11,108,420
20101100134,14,6,9,32,23,16,15,10,14,8,14,4,8,3,5,10,33,228
20101100135,27,8,9,21,15,17,34,29,43,33,32,20,27,7,16,6,137,478
20101100136,30,22,22,24,26,29,22,45,44,46,43,27,60,4,6,15,195,667
20101100137,27,11,11,20,27,18,22,32,35,25,33,19,32,6,5,14,128,486
20101100138,33,4,14,17,20,24,30,46,45,39,46,28,37,11,3,10,165,568
20101100139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100140,27,21,14,16,24,36,23,32,43,17,25,28,66,19,34,13,132,576
20101100141,17,13,6,15,15,29,14,24,16,13,20,6,12,0,3,15,49,274
20101100142,13,7,7,0,7,10,14,25,28,23,14,18,23,0,0,17,145,358
20101100201,37,18,19,27,37,32,43,40,38,41,27,24,24,11,19,11,66,519
20101100202,24,16,13,26,14,17,25,21,22,16,24,17,15,0,9,14,34,307
20101100203,27,19,21,23,26,24,27,19,46,25,14,18,18,8,11,6,62,406
20101100204,43,19,28,41,43,42,30,40,44,21,23,18,45,5,15,17,82,557
20101100205,37,12,17,24,40,39,36,38,35,34,27,22,33,4,10,20,109,540
20101100206,89,40,20,14,6,21,21,17,16,18,18,18,34,8,27,16,79,460
20101100207,13,13,13,22,10,26,23,17,32,15,19,15,30,9,12,21,76,366
20101100208,41,25,19,10,17,32,25,24,47,34,28,19,51,21,67,31,91,582
20101100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100211,25,17,13,30,25,35,30,26,39,36,32,24,36,11,7,13,84,476
20101100212,14,14,16,8,22,28,27,17,25,17,12,7,15,6,7,43,54,335
20101100213,26,13,11,11,32,21,17,18,17,16,21,18,36,7,12,45,48,378
20101100214,19,15,14,28,40,33,17,22,26,17,32,11,25,8,11,21,74,415
20101100215,15,12,13,32,44,22,28,37,39,34,27,30,27,10,8,22,85,485
20101100216,8,5,13,16,32,35,38,31,26,24,22,20,23,0,3,20,67,397
20101100217,18,5,16,14,19,25,19,15,31,28,20,4,21,3,25,27,53,333
20101100218,21,11,14,20,19,21,18,21,26,21,13,19,26,5,14,37,60,365
20101100219,15,14,18,19,16,16,17,16,14,12,3,5,4,6,0,9,14,203
20101100220,8,7,13,20,12,13,14,23,18,16,22,9,18,8,4,4,25,227
20101100221,7,14,13,13,16,12,8,9,18,23,3,9,11,4,3,14,30,217
20101100222,24,18,16,18,20,38,21,31,39,22,22,23,35,23,62,18,114,536
20101100223,22,22,23,29,38,30,26,14,31,36,18,14,37,15,24,136,53,567
20101100224,33,7,18,38,29,37,20,40,33,24,23,20,33,11,19,34,60,483
20101100225,9,9,10,13,23,15,17,18,13,17,17,10,21,10,15,11,21,248
20101100226,8,3,3,16,17,21,11,15,17,7,14,5,11,0,9,10,21,186
20101100227,17,14,19,23,24,22,26,33,22,22,18,20,23,13,19,13,46,367
20101100228,13,7,4,16,11,15,18,17,20,16,10,11,22,10,19,24,37,265
20101100229,10,9,10,26,21,18,26,28,27,16,19,16,17,11,32,11,37,329
20101100230,13,8,14,23,37,26,17,24,28,18,26,13,14,0,0,20,49,334
20101100231,20,14,19,17,33,35,25,29,28,22,17,16,34,0,14,20,66,403
20101100232,12,9,16,9,21,21,18,19,26,17,13,13,17,0,5,14,24,251
20101100233,29,11,10,20,24,23,23,17,24,19,14,25,24,4,9,18,50,345
20101100234,5,4,5,19,17,9,14,18,5,7,6,8,8,0,4,17,26,174
20101100501,19,10,9,12,21,22,27,26,30,13,18,18,28,8,6,12,96,378
20101100502,49,24,20,52,35,52,39,45,52,39,38,14,49,7,12,20,124,676
20101100504,26,25,35,48,60,50,35,38,37,29,26,21,33,3,4,16,98,563
20101100505,13,8,24,15,7,5,0,5,0,0,0,0,0,0,0,57,0,134
20101100506,40,23,23,29,19,38,33,30,41,30,26,22,41,6,8,10,115,515
20101100507,20,22,18,15,26,25,23,19,37,28,22,24,25,9,8,21,75,418
20101100508,16,19,17,32,21,23,14,28,39,29,40,31,45,4,6,12,134,515
20101100509,13,14,9,16,14,22,28,17,10,17,17,16,14,6,18,6,50,290
