DZN_21,TotJob_21
211061636,1118
211061637,1399
211061638,216
211061658,328
211071639,209
211071640,366
211071642,319
211071643,181
211071645,262
211071646,119
211071651,330
211091660,361
211091662,217
211091663,390
211091668,318
214950001,1354
214950002,140
214950003,383
214950004,1619
214950005,814
214960001,312
214960002,412
214960003,728
214960004,1531
214960005,446
214960006,2445
214960007,390
214960008,1457
214970001,456
214970002,777
214970003,346
214970004,2071
214970005,377
214970006,524
214970007,1351
214980001,1114
214980002,414
214980003,711
211101759,263
211101760,1173
211101762,2207
211101763,123
211101764,132
211101765,241
211101766,214
211120001,92
211120002,105
211120003,514
211120004,677
211121778,452
211121780,588
211121781,313
211121782,657
211121783,806
211121784,428
211121785,636
214990001,335
214990002,449
214990003,486
214990004,149
214990005,558
214990006,125
214990007,20
214990008,321
214990009,896
214990010,207
215000001,417
215000002,728
215000003,1325
215000004,559
215000005,158
211130001,556
211131490,597
211131491,665
211131493,509
211131494,313
211151484,353
211151486,454
211151487,401
211151488,566
211151489,576
211151495,436
211160001,3911
211160002,422
211160003,285
211161497,548
211161498,437
211161499,908
211161501,625
211161502,470
211161503,276
215010001,1044
215010002,987
215010003,747
215010004,909
215020001,588
215020002,1007
215020003,149
215020004,528
215020005,1410
215020006,179
211170001,541
211170002,1911
211170003,1553
211170004,623
211170005,538
211170006,945
211170007,2781
211170008,1844
211171112,1630
211171114,959
211171116,496
211171118,1044
211171119,1707
211171130,302
211180001,3878
211180002,2213
211180003,111
211180004,10273
211180005,1533
211180006,8988
211180007,178
211180008,5595
211180009,2543
211180010,13944
211180011,7385
211181077,438
211181080,26432
211190001,1703
211190002,2520
211191099,2023
211191100,5451
211191101,4563
211191103,3778
211201133,1242
211210001,465
211210002,1208
211211120,465
211211121,933
211211122,668
211211132,434
211211480,460
211240001,3677
211240002,16
211241135,508
211241136,5812
211241137,268
211241138,13129
211241139,1255
211241140,7035
211251087,6607
211251090,7500
211251091,3224
211251092,1640
211251093,160
211271104,1632
211271105,2068
211271106,390
215030001,7462
215030002,7013
215030003,3215
215030004,5162
215030005,6662
215030006,1761
215030007,2689
215030008,1707
215030009,2389
215030010,1059
215030011,2334
215030012,2844
215030013,8244
215030014,9577
215030015,2537
215030016,1320
215030017,1065
215030018,2454
215030019,771
215030020,1109
215030021,1802
215030022,710
215030023,2092
215030024,1546
215030025,1657
215030026,4778
215030027,16797
215030028,361
215030029,468
215040001,793
215040002,1475
215040003,6171
215040004,3494
215040005,443
215040006,931
215040007,6367
215040008,1831
215040009,4710
215050001,2177
215050002,9879
215050003,2693
215050004,4959
215050005,4505
215050006,10259
215050007,5855
215050008,821
215050009,2052
215050010,1904
215050011,5218
215050012,6727
215050013,3486
215050014,5013
215050015,3838
215050016,6303
215050017,1659
215050018,1747
215050019,785
215050020,4706
215050021,2400
215050022,7745
215050023,2164
215050024,539
215050025,570
215050026,437
215050027,4893
215050028,1210
215050029,1475
215050030,739
215050031,460
215050032,1105
215060001,1253
215060002,1739
215060003,154
215060004,1650
215060005,401
215060006,1232
215060007,2069
215060008,1155
215060009,870
215060010,495
215070001,350
215080001,3789
215080002,6466
215080003,7264
215080004,10164
215080005,409
215090001,494
215090002,2349
215090003,476
215090004,607
215090005,1854
215090006,4118
215090007,544
215090008,1517
215100001,1280
215100002,204
215100003,382
215100004,2631
215100005,782
211281168,3334
211281169,6027
211281170,1878
211281180,609
211281181,764
211281182,1427
211281183,391
211281184,823
211291142,400
211291143,674
211291144,353
211291145,1192
211301171,187
211301175,692
211301177,234
211301178,1602
211301179,1426
211341146,140
211341147,496
211341148,337
211341149,394
211341150,324
211341152,216
211341153,211
211341154,234
211341155,178
211341165,189
211341166,599
215110001,2329
215110002,3591
215110003,867
215110004,2006
215110005,957
215110006,3398
215110007,3908
215110008,2067
215110009,2753
215110010,1109
215110011,4324
215110012,956
215120001,3959
215120002,1691
215120003,398
215120004,4056
215120005,876
215120006,475
215120007,2704
215120008,943
215120009,1709
215120010,3320
215130001,1383
215130002,556
215130003,1552
215130004,508
215130005,1320
215140001,1347
215140002,466
215140003,872
215140004,1446
215140005,990
215140006,3530
215140007,262
211351208,410
211351209,730
211351210,372
211352794,3122
211352795,1639
211361211,247
211361212,194
211361213,426
211361214,864
211361215,1436
211361216,652
211361217,795
211361218,4455
211361219,708
211361220,790
211381221,510
211381222,1153
211381223,843
211381224,769
211381225,590
211382796,242
211382797,415
215150001,699
215150002,84
215150003,5525
215150004,119
215160001,484
215160002,856
215160003,964
215160004,1800
215160005,501
215160006,119
215160007,1356
211391248,2665
211391249,1411
211391250,859
211391251,885
211391252,1799
211391253,2340
211401131,194
211401226,775
211401227,895
211401258,356
211411240,929
211411241,1725
211411242,1483
211411243,4046
211411244,679
211411245,3299
211411246,516
211411247,278
211421228,5793
211421229,1130
211421230,899
211421231,1187
211421232,916
211421233,1208
211421234,476
211421235,367
211421236,851
211421237,492
211421238,620
211421239,1080
211431259,504
211431260,187
211431261,1175
211431262,662
211431263,932
211431264,530
211451254,298
211451255,619
211451256,401
211451257,596
211451265,1409
211451266,666
215170001,683
215170002,2262
215170003,4726
215170004,2890
215170005,2325
215170006,2081
215170007,194
215170008,502
215170009,648
215170010,295
215170011,2664
215170012,400
215170013,1201
215170014,112
215170015,1603
215170016,595
215170017,922
215170018,199
215170019,1273
215170020,1380
215180001,547
215180002,3453
215180003,1937
215180004,1856
215180005,1611
215180006,890
215180007,3411
215180008,1245
211460001,431
211462022,283
211462024,440
