SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20101100101,0,5,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,63
20101100102,0,9,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26
20101100105,0,3,0,0,0,0,0,10,0,4,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,19,0,0,3,0,0,0,0,3,7,0,9,68
20101100106,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,41,86
20101100107,0,5,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,4,0,3,0,0,8,0,0,3,4,0,0,0,0,7,0,27,73
20101100108,0,8,0,0,0,0,0,16,4,7,0,0,0,4,0,0,0,0,0,0,5,0,13,0,0,33,0,0,0,0,0,0,0,0,4,0,27,131
20101100109,0,5,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,16,0,0,4,0,0,0,0,0,10,0,34,87
20101100110,0,4,0,0,0,0,0,12,0,6,0,0,0,3,0,0,0,0,0,0,5,0,6,0,0,9,0,0,6,0,0,0,0,0,0,0,6,59
20101100111,0,7,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,16,48
20101100112,0,4,0,0,5,0,0,13,0,5,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44
20101100113,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,9,3,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,4,54
20101100114,0,7,0,0,0,0,0,11,0,3,0,0,0,11,5,0,0,0,0,0,3,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0,16,92
20101100118,0,4,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,6,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,52
20101100119,0,9,0,0,0,0,0,22,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,15,0,0,0,0,0,0,0,0,3,0,5,79
20101100120,0,4,0,0,0,0,0,13,0,0,3,0,0,0,0,0,3,0,0,0,3,0,14,0,0,47,0,0,0,0,0,0,0,0,4,0,17,129
20101100121,0,7,0,0,0,0,0,26,0,6,5,0,0,0,0,0,0,0,0,6,0,0,17,0,0,24,0,0,3,0,0,0,0,0,11,0,18,134
20101100124,0,0,0,0,0,0,0,8,0,3,4,0,0,0,5,0,0,3,0,0,5,0,11,0,0,10,0,0,0,0,0,0,0,0,8,0,11,64
20101100125,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,52
20101100126,0,7,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,9,0,6,13,0,19,0,0,35,0,0,6,0,0,0,0,0,8,0,18,146
20101100127,0,4,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,4,0,4,10,0,0,0,0,47,0,0,9,3,0,0,0,0,8,0,17,134
20101100128,0,4,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,27,0,0,0,0,3,0,0,0,5,0,4,79
20101100129,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,3,0,16,0,0,0,0,0,0,0,4,7,0,27,98
20101100130,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,6,0,0,5,0,10,0,0,69,0,0,0,0,0,0,0,0,4,0,4,116
20101100131,0,7,0,0,0,0,0,9,0,0,0,0,6,0,0,0,8,8,0,0,6,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,5,100
20101100132,0,8,0,0,3,0,0,13,0,4,0,0,5,3,0,0,3,7,0,9,23,0,12,0,0,82,0,0,0,0,0,0,0,4,11,0,33,227
20101100133,0,5,0,0,0,0,0,9,0,4,0,0,0,3,0,0,0,0,0,3,3,0,20,4,0,29,0,0,0,0,0,0,0,0,9,0,15,106
20101100134,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,5,3,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,12,77
20101100135,0,4,0,0,5,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,6,0,14,4,0,66,0,0,5,0,0,0,0,7,0,0,5,134
20101100136,0,9,0,0,3,0,0,12,0,6,0,0,0,5,0,0,0,3,0,0,9,0,16,4,0,59,0,0,0,4,0,0,0,3,6,0,11,157
20101100137,0,0,0,0,0,0,0,11,0,10,0,0,4,0,0,0,4,8,0,4,3,0,6,0,0,25,0,0,0,0,0,0,0,5,12,0,21,117
20101100138,0,6,0,0,6,0,0,10,4,4,0,0,0,0,0,0,0,8,0,0,3,0,9,0,0,62,0,0,0,0,0,0,0,0,6,0,14,121
20101100139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100140,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,5,0,49,0,0,4,6,0,0,0,0,7,0,12,107
20101100141,0,0,0,0,0,0,0,11,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,41
20101100142,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,14,47
20101100201,0,0,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,3,0,0,3,0,14,0,0,19,3,0,9,0,0,0,0,0,12,0,13,97
20101100202,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,3,0,0,3,0,0,12,3,0,3,0,0,4,0,0,0,0,0,0,0,15,71
20101100203,0,3,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,19,0,0,4,0,0,0,0,0,9,0,17,89
20101100204,0,4,0,0,0,0,0,24,0,9,0,0,0,3,0,0,0,0,0,3,10,0,37,4,0,12,0,0,0,9,0,0,0,0,0,0,16,134
20101100205,0,4,0,0,4,0,0,8,3,5,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,13,0,0,0,3,0,0,0,0,3,0,13,73
