SA1 (UR),"Managers, nfd","Chief Executives, General Managers and Legislators",Farmers and Farm Managers,Specialist Managers,"Hospitality, Retail and Service Managers","Professionals, nfd",Arts and Media Professionals,"Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals",Education Professionals,Health Professionals,ICT Professionals,"Legal, Social and Welfare Professionals","Technicians and Trades Workers, nfd","Engineering, ICT and Science Technicians",Automotive and Engineering Trades Workers,Construction Trades Workers,Electrotechnology and Telecommunications Trades Workers,Food Trades Workers,Skilled Animal and Horticultural Workers,Other Technicians and Trades Workers,"Community and Personal Service Workers, nfd",Health and Welfare Support Workers,Carers and Aides,Hospitality Workers,Protective Service Workers,Sports and Personal Service Workers,"Clerical and Administrative Workers, nfd",Office Managers and Program Administrators,Personal Assistants and Secretaries,General Clerical Workers,Inquiry Clerks and Receptionists,Numerical Clerks,Clerical and Office Support Workers,Other Clerical and Administrative Workers,"Sales Workers, nfd",Sales Representatives and Agents,Sales Assistants and Salespersons,Sales Support Workers,"Machinery Operators and Drivers, nfd",Machine and Stationary Plant Operators,Mobile Plant Operators,Road and Rail Drivers,Storepersons,"Labourers, nfd",Cleaners and Laundry Workers,Construction and Mining Labourers,Factory Process Workers,"Farm, Forestry and Garden Workers",Food Preparation Assistants,Other Labourers,Inadequately described,Not stated,Not applicable,Total
20101100101,0,4,0,8,4,0,0,9,0,14,7,0,4,0,3,7,8,7,3,0,5,0,5,17,0,0,0,0,3,4,5,6,5,0,4,0,5,21,0,0,4,0,0,0,0,0,0,4,0,6,6,7,0,242,435
20101100102,0,4,0,4,0,0,0,5,0,6,3,0,3,0,7,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,124,184
20101100105,0,0,0,3,5,0,0,0,6,4,9,0,0,0,0,4,3,5,4,5,4,0,7,18,10,0,8,0,0,0,5,33,3,0,4,0,0,14,0,0,0,0,6,0,0,3,4,3,0,7,0,0,0,191,377
20101100106,0,0,0,18,14,0,0,8,4,17,16,0,7,0,6,11,6,8,4,0,4,0,4,12,10,6,0,0,4,0,8,14,6,0,4,0,0,10,0,0,4,0,5,0,0,9,0,4,4,3,7,3,5,331,584
20101100107,0,0,0,4,9,0,0,8,3,4,15,4,5,0,0,3,7,0,5,3,0,0,0,4,0,0,5,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,5,0,0,5,3,8,3,6,6,0,0,201,358
20101100108,0,3,0,16,15,0,0,12,11,30,29,7,5,0,10,6,12,5,5,0,4,0,6,26,10,0,5,0,16,0,10,9,9,0,12,0,8,33,4,3,0,5,8,4,0,3,4,11,3,8,5,0,0,411,791
20101100109,0,3,0,12,4,0,3,7,0,14,12,3,6,0,5,5,8,0,4,5,3,0,0,23,3,5,4,0,6,0,7,10,0,0,6,0,0,7,3,0,7,0,6,4,0,3,6,7,4,6,5,4,0,294,527
20101100110,0,6,0,28,10,0,0,15,7,13,18,4,9,0,6,6,10,4,0,0,0,0,6,12,10,8,6,0,5,3,4,11,5,0,0,0,4,18,6,0,0,5,5,3,0,0,4,6,0,6,3,0,0,223,513
20101100111,0,5,0,9,12,0,0,5,9,17,12,0,9,0,3,0,5,8,4,3,7,0,3,3,5,6,0,0,7,0,3,3,6,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,3,4,3,0,0,184,366
20101100112,0,0,0,18,5,0,0,10,7,9,19,0,6,0,13,9,9,7,0,0,0,0,7,10,3,4,0,0,7,0,3,3,4,0,6,0,0,7,5,0,0,0,6,0,0,10,0,6,0,0,4,0,0,233,427
20101100113,0,0,0,8,10,0,0,17,0,9,20,0,5,0,8,3,4,0,0,3,0,0,0,4,0,5,0,0,6,4,3,9,0,5,0,0,0,17,0,0,0,0,5,0,0,4,7,0,0,3,3,0,0,161,332
20101100114,0,3,0,6,15,0,5,12,6,17,17,0,5,0,4,7,8,0,3,4,5,0,4,12,5,3,0,0,3,0,10,8,3,0,3,0,3,22,3,0,0,0,0,3,0,8,4,0,0,9,4,0,0,294,535
20101100118,0,0,0,10,9,0,0,10,5,11,16,3,3,0,4,4,4,6,3,0,0,0,4,8,0,9,6,0,3,0,6,4,3,0,0,0,7,26,4,0,0,0,3,0,0,0,0,0,5,9,3,0,0,140,324
20101100119,0,5,5,44,16,0,0,22,3,24,42,3,9,0,3,15,20,9,0,0,5,0,6,16,13,7,7,0,23,0,10,5,15,0,5,0,7,34,6,0,0,0,7,0,0,4,8,12,6,11,9,6,0,332,786
20101100120,0,0,0,21,11,0,0,7,6,10,33,0,3,0,6,9,5,9,3,0,5,0,5,32,5,0,4,0,0,0,4,14,9,0,6,0,9,23,9,0,3,0,6,4,0,4,0,4,0,0,5,0,3,354,643
20101100121,4,0,0,31,15,0,0,14,4,18,32,4,3,0,4,10,7,12,6,0,6,0,7,17,8,9,0,0,8,3,4,8,13,3,3,0,0,31,10,0,5,0,3,0,0,0,0,12,5,10,0,0,0,354,697
20101100124,0,3,0,23,6,0,0,15,4,14,26,0,10,0,7,12,12,0,5,4,8,0,6,13,3,5,7,0,4,0,3,6,12,0,3,0,4,12,3,0,3,3,0,0,0,3,4,3,0,9,0,0,0,211,473
20101100125,3,5,0,15,9,0,0,8,3,10,20,0,0,0,9,20,9,8,5,3,0,0,11,19,6,10,6,0,3,3,7,10,3,0,14,0,3,27,5,0,3,5,7,4,0,3,3,0,4,10,3,6,0,290,592
20101100126,0,9,0,28,16,0,0,21,0,24,40,0,10,0,3,3,6,3,3,3,0,0,7,5,9,0,8,0,11,8,16,12,10,0,9,0,10,20,0,0,0,0,6,0,0,0,0,0,0,6,0,3,5,321,660
20101100127,0,0,0,26,9,0,0,25,3,24,35,3,6,0,3,4,10,8,0,0,3,0,9,25,5,6,6,0,6,4,10,11,6,8,9,0,4,17,0,0,3,8,11,0,4,11,3,5,3,6,0,5,0,251,596
20101100128,0,0,0,14,3,0,0,13,0,14,14,3,0,0,8,5,8,0,5,0,0,0,3,9,5,6,7,0,3,0,3,7,4,0,3,0,0,10,3,0,0,0,4,4,0,3,0,4,0,3,3,0,0,219,385
